iter	Passed	Remaining
0	59	59093
1	59	29643
2	59	19817
3	59	14904
4	60	11957
5	60	9992
6	60	8587
7	60	7537
8	61	6718
9	61	6065
10	61	5533
11	61	5092
12	62	4715
13	62	4392
14	62	4110
15	62	3864
16	63	3646
17	63	3460
18	63	3287
19	64	3136
20	64	3001
21	64	2878
22	65	2771
23	65	2671
24	66	2612
25	67	2522
26	67	2436
27	67	2360
28	68	2287
29	68	2220
30	69	2157
31	69	2099
32	69	2040
33	69	1986
34	70	1935
35	70	1888
36	70	1842
37	71	1797
38	71	1756
39	71	1716
40	71	1679
41	72	1643
42	72	1611
43	72	1578
44	72	1546
45	73	1516
46	73	1489
47	73	1461
48	73	1435
49	74	1410
50	74	1385
51	74	1361
52	74	1338
53	75	1317
54	75	1296
55	75	1275
56	75	1256
57	76	1237
58	76	1219
59	76	1201
60	76	1184
61	77	1168
62	77	1152
63	77	1137
64	78	1122
65	78	1108
66	78	1095
67	78	1079
68	79	1066
69	79	1054
70	79	1043
71	80	1034
72	80	1024
73	81	1015
74	81	1004
75	81	993
76	82	987
77	82	978
78	83	968
79	83	958
80	83	948
81	83	940
82	84	930
83	84	921
84	84	910
85	84	903
86	85	894
87	85	888
88	86	884
89	86	877
90	87	869
91	87	862
92	87	856
93	88	848
94	88	843
95	88	837
96	89	830
97	90	833
98	90	826
99	91	819
100	92	822
101	92	814
102	92	807
103	93	801
104	93	799
105	94	794
106	94	788
107	94	782
108	95	777
109	95	772
110	95	767
111	96	762
112	96	758
113	96	753
114	97	748
115	97	742
116	97	736
117	97	732
118	98	726
119	98	721
120	98	716
121	98	711
122	98	705
123	99	700
124	99	696
125	99	692
126	100	687
127	100	682
128	100	678
129	100	673
130	100	669
131	101	665
132	101	661
133	101	656
134	101	652
135	102	648
136	102	644
137	102	640
138	102	636
139	103	633
140	103	629
141	103	626
142	103	622
143	104	619
144	104	616
145	104	612
146	105	609
147	105	606
148	105	603
149	106	601
150	106	598
151	106	595
152	106	591
153	107	590
154	107	587
155	108	584
156	108	581
157	108	578
158	108	575
159	109	572
160	109	569
161	109	566
162	109	563
163	110	561
164	110	558
165	110	555
166	110	552
167	111	551
168	111	549
169	111	546
170	112	543
171	112	540
172	112	538
173	112	535
174	113	532
175	113	530
176	113	527
177	113	525
178	114	522
179	114	520
180	114	517
181	114	515
182	114	512
183	115	511
184	115	509
185	115	506
186	116	504
187	116	502
188	116	500
189	116	498
190	117	496
191	117	493
192	117	491
193	117	490
194	118	487
195	118	485
196	118	483
197	118	481
198	119	479
199	119	477
200	119	475
201	119	473
202	120	472
203	120	470
204	120	468
205	120	466
206	121	465
207	121	463
208	121	461
209	122	459
210	122	457
211	122	455
212	122	453
213	123	453
214	123	451
215	123	449
216	124	448
217	124	446
218	124	444
219	124	442
220	125	441
221	125	439
222	125	438
223	126	436
224	126	435
225	126	434
226	127	432
227	127	431
228	127	429
229	127	428
230	128	427
231	128	425
232	129	424
233	129	423
234	129	422
235	130	421
236	130	419
237	130	418
238	130	416
239	131	415
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	406
246	132	405
247	133	403
248	133	402
249	133	400
250	133	399
251	134	398
252	134	396
253	134	395
254	134	394
255	135	392
256	135	391
257	135	390
258	135	389
259	136	387
260	136	386
261	136	384
262	136	383
263	137	382
264	137	381
265	137	379
266	137	378
267	138	378
268	138	377
269	139	376
270	139	375
271	139	373
272	139	372
273	140	371
274	140	370
275	140	369
276	140	367
277	141	366
278	141	365
279	141	364
280	141	362
281	142	361
282	142	360
283	142	359
284	142	358
285	142	356
286	143	355
287	143	354
288	143	353
289	143	352
290	144	351
291	144	350
292	144	349
293	144	347
294	145	346
295	145	346
296	145	345
297	146	344
298	146	342
299	146	341
300	146	340
301	147	339
302	147	338
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	149	327
314	150	326
315	150	325
316	150	324
317	150	323
318	151	322
319	151	321
320	151	320
321	151	319
322	152	318
323	152	317
